ID,Название,Компания,Местоположение,Зарплата,Описание,Дата публикации
105,Инженер-программист,СКАНКОД,Москва,100000,"Разрабатывать ПО для программируемых контроллеров Tibbo (С, BASIC). Работать с TiOS API, создавать драйверы, библиотеки и пользовательские приложения. ",2025-06-26
106,Python developer (Django),Absolut POS,Москва,,"Разработка новых функциональностей и интеграция с внешними системами (API, CRM, ERP, BI). Проектирование и реализация архитектуры агрегации и обработки больших...",2025-06-24
107,QA,Профсофт,Саратов,,"Изучение технической документации, спецификаций и требований к продукту. Разработка тест-планов и тест-кейсов. Проведение тестирования. Регистрация багов, ошибок и...",2025-06-20
108,Инженер по тестированию,Koronatech,Санкт-Петербург,,"Анализ требований на разных этапах. Тестирование функционала, в том числе сугубо технических задач. Интеграционное тестирование платформы с микросервисами. ",2025-06-24
109,Системный администратор,СОЮЗ-КАБЕЛЬ,Витебск,3000,"1. Поддержка пользователей: — Установка и обновление операционных систем, прикладного и офисного ПО. — Настройка рабочих мест, подключение к сети и периферии. — ",2025-06-26
110,Python-инженер / Telegram bot developer,Finbridge,Москва,200000,"Разрабатывать Telegram-бота, который на лету предсказывает исходы матчей с помощью ИИ. Интегрироваться с внешними API (спортивная статистика, модели ИИ...",2025-06-23
111,Junior GO-developer (GO-разработчик),Волынкин Александр Евгеньевич,Москва,80000,,2025-06-26
112,Senior QA инженер,2040 World,Москва,,Обеспечение качества мультиплеерного проекта на UE5. Участие в расширении инфраструктуры тестирования проекта. Участие в формировании плана тестирования версий. ,2025-06-23
113,Python разработчик,Московский метрополитен,Москва,,Разработка и поддержка API. Создание модулей для сбора и обработки данных. Участие в проектировании архитектуры решений. Анализ новых технологий и...,2025-06-25
114,Middle Backend разработчик,ЧК NextGen Commerce Ltd.,Алматы,700000,"Проектировать и разрабатывать RESTful-сервисы на Python 3.10+ (FastAPI). Инкапсулировать бизнес-логику в микросервисы, упаковывать их в Docker...",2025-06-20
115,BI-аналитик (Senior),LIAN,Москва,None,Поддержка еженедельной отчетности для руководства. Доработка существующих дашбородов в BI-системах. Построение новых дашбордов Формирование карты дашбордов. Участие во внедрении...,2025-06-24
116,Middle Python developer,Эквариум,Москва,180000,Разработка и поддержка новых функциональных модулей системы. Интеграция с внешними API сторонних систем. Оптимизация работы микросервисов и баз данных. ,2025-06-26
117,Junior разработчик-исследователь в R&D (биоинформатика / математическая оптимизация),Кситест,Москва,,"Оптимальный подбор пар животных с учётом генетической ценности, инбридинга и ограничений фермы. Расчёт геномных оценок и индексов (BLUP, GBLUP). ",2025-06-24
118,Руководитель команды разработки,Xello,Москва,,"Языки: Kotlin (основной ЯП), также используем C#, Python, Golang, C/C++. Фреймворки: Spring (Boot, Security, Data JPA, LDAP, Kafka). ",2025-06-26
119,Python-разработчик,IT Analytics,Караганда,400000,Разработкой API и серверной части приложений. Поддержкой текущих проектов. Разработка новых проектов. Интеграцией со сторонними сервисами.,2025-06-25
120,Python Developer (RuBackup),Группа компаний Астра,Москва,,"Участвовать в принятии технических решений по развитию текущего проекта REST API. Внедрять новые фичи, связанные с резервным копированием данных. ",2025-06-23
121,Python Junior Backend Developer / Разработчик питон,HuntHack,Москва,120000,"Что нужно делать: Разрабатывать и улучшать бекенд на Django. Разрабатывать интеграции с внешними сервисами. Внедрять новый функционал, заниматься рефакторингом и...",2025-06-20
122,Python Backend-разработчик (Django),Аликсон,Москва,,"Поддерживать и дорабатывать сервисы на Python. Интегрировать и поддерживать внутренние и внешние API (Яндекс Маркет, Авито, CDEK, платежные системы Тинькофф...",2025-06-09
123,Фуллстак девелопер,Акматов А.Б.,Бишкек,50000,"От 2–3 лет в разработке IT-продуктов, желательно в сфере интеграции информационных систем (ИС) или решений для повышения эффективности...",2025-06-23
124,Инженер по компьютерному зрению (CV / ML / Detection / Tracking),СТАМП,Москва,,"Детекция и трекинг автомобилей в сложных условиях (перекрытия, тени, низкая освещённость, динамичные сцены). Определение наличия автомобиля в боксе. ",2025-06-24
125,Junior Python Developer,Артемьев Дмитрий Николаевич,Нижний Новгород,60000,"Разработка backend-части веб-приложений на Python. Работа с базами данных (PostgreSQL, MongoDB). Участие в code review и обсуждение архитектурных...",2025-06-25
126,DevOps/SRE-инженер уровня Middle,Хелоу,Москва,,"Поддержание и развитие облачной инфраструктуры и кластеров Kubernetes. Автоматизация процессов развертывания. Создание и внедрение систем мониторинга (Prometheus, Grafana, ELK). ",2025-05-27
